
--- [START 2018-08-24_02-09-29] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
	pretrain_file = /root/share/project/kaggle/tgs/results/unet-5-scale/fold3/initial/00100000_model.pth

--- [START 2018-08-24_02-09-57] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100    4.2    37.3  |  0.051  0.940  (0.749) |  0.023  0.967  |  0.013  0.987  |  0 hr 20 min 
0.0100    4.3    38.2  |  0.069  0.898  (0.635) |  0.021  0.970  |  0.046  0.951  |  0 hr 20 min 
0.0100    4.4    39.1  |  0.050  0.940  (0.757) |  0.027  0.962  |  0.011  0.989  |  0 hr 21 min 
0.0100    4.5    40.0  |  0.044  0.939  (0.760) |  0.019  0.976  |  0.031  0.960  |  0 hr 21 min 
0.0100    4.6    40.9  |  0.044  0.936  (0.736) |  0.025  0.964  |  0.017  0.977  |  0 hr 21 min 
0.0100    4.7    41.8  |  0.046  0.933  (0.740) |  0.023  0.967  |  0.040  0.931  |  0 hr 22 min 
0.0100    4.8    42.7  |  0.045  0.938  (0.740) |  0.032  0.952  |  0.029  0.959  |  0 hr 22 min 
0.0100    4.9    43.6  |  0.041  0.938  (0.737) |  0.028  0.958  |  0.030  0.956  |  0 hr 23 min 
0.0100    5.0    44.4  |  0.056  0.935  (0.734) |  0.023  0.967  |  0.018  0.971  |  0 hr 23 min 
0.0100    5.1    45.3  |  0.046  0.945  (0.750) |  0.018  0.976  |  0.020  0.978  |  0 hr 24 min 
0.0100    5.2    46.2  |  0.047  0.943  (0.762) |  0.021  0.969  |  0.041  0.941  |  0 hr 24 min 
0.0100    5.3    47.1  |  0.043  0.951  (0.778) |  0.022  0.968  |  0.017  0.976  |  0 hr 25 min 
0.0100    5.4    48.0  |  0.044  0.946  (0.757) |  0.021  0.969  |  0.020  0.964  |  0 hr 25 min 
0.0100    5.5    48.9  |  0.045  0.947  (0.766) |  0.021  0.976  |  0.016  0.973  |  0 hr 26 min 
0.0100    5.6    49.8  |  0.036  0.950  (0.765) |  0.021  0.968  |  0.018  0.957  |  0 hr 26 min 
0.0100    5.7    50.7  |  0.044  0.948  (0.783) |  0.021  0.971  |  0.025  0.956  |  0 hr 27 min 
0.0100    5.8    51.6  |  0.063  0.933  (0.733) |  0.021  0.972  |  0.025  0.955  |  0 hr 27 min 
0.0100    5.9    52.4  |  0.054  0.937  (0.742) |  0.026  0.966  |  0.036  0.942  |  0 hr 28 min 
0.0100    6.0    53.3  |  0.055  0.939  (0.765) |  0.019  0.974  |  0.017  0.977  |  0 hr 28 min 
0.0100    6.1    54.2  |  0.047  0.947  (0.769) |  0.018  0.975  |  0.032  0.957  |  0 hr 29 min 
0.0100    6.2    55.1  |  0.041  0.950  (0.782) |  0.017  0.976  |  0.018  0.972  |  0 hr 29 min 
0.0100    6.3    56.0  |  0.055  0.940  (0.743) |  0.023  0.962  |  0.021  0.972  |  0 hr 30 min 
0.0100    6.4    56.9  |  0.055  0.943  (0.764) |  0.018  0.973  |  0.014  0.978  |  0 hr 30 min 
0.0100    6.5    57.8  |  0.058  0.934  (0.751) |  0.017  0.977  |  0.014  0.981  |  0 hr 30 min 
0.0100    6.6    58.7  |  0.057  0.931  (0.726) |  0.019  0.971  |  0.014  0.982  |  0 hr 31 min 
