
--- [START 2018-08-23_22-25-07] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold2

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train2_3600
valid_dataset.split = list_valid2_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100    4.7    41.8  |  0.038  0.949  (0.726) |  0.018  0.972  |  0.030  0.962  |  0 hr 24 min 
0.0100    4.8    42.7  |  0.035  0.956  (0.768) |  0.021  0.969  |  0.017  0.972  |  0 hr 24 min 
0.0100    4.9    43.6  |  0.039  0.951  (0.744) |  0.018  0.975  |  0.016  0.975  |  0 hr 25 min 
0.0100    5.0    44.4  |  0.044  0.949  (0.740) |  0.015  0.976  |  0.016  0.977  |  0 hr 25 min 
0.0100    5.1    45.3  |  0.039  0.952  (0.732) |  0.021  0.973  |  0.019  0.978  |  0 hr 26 min 
0.0100    5.2    46.2  |  0.033  0.956  (0.738) |  0.018  0.977  |  0.019  0.976  |  0 hr 26 min 
0.0100    5.3    47.1  |  0.044  0.962  (0.772) |  0.014  0.978  |  0.015  0.977  |  0 hr 27 min 
0.0100    5.4    48.0  |  0.046  0.945  (0.719) |  0.029  0.964  |  0.022  0.962  |  0 hr 27 min 
0.0100    5.5    48.9  |  0.038  0.946  (0.731) |  0.018  0.974  |  0.015  0.979  |  0 hr 28 min 
0.0100    5.6    49.8  |  0.040  0.953  (0.746) |  0.020  0.970  |  0.012  0.983  |  0 hr 28 min 
0.0100    5.7    50.7  |  0.045  0.954  (0.760) |  0.015  0.980  |  0.014  0.978  |  0 hr 29 min 
0.0100    5.8    51.6  |  0.040  0.947  (0.736) |  0.014  0.980  |  0.033  0.940  |  0 hr 29 min 
0.0100    5.9    52.4  |  0.042  0.957  (0.754) |  0.015  0.977  |  0.015  0.979  |  0 hr 30 min 
0.0100    6.0    53.3  |  0.039  0.958  (0.754) |  0.014  0.981  |  0.020  0.974  |  0 hr 30 min 
0.0100    6.1    54.2  |  0.039  0.955  (0.752) |  0.014  0.981  |  0.023  0.967  |  0 hr 31 min 
